monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,service_id
0,0,0,0,0,0,1,20260523,20260602,930
0,0,0,0,0,0,1,20260523,20260612,481
0,0,0,0,0,0,1,20260524,20260531,746
0,0,0,0,0,0,1,20260524,20260607,281
0,0,0,0,0,0,1,20260524,20260607,749
0,0,0,0,0,0,1,20260524,20260621,15
0,0,0,0,0,0,1,20260524,20260621,628
0,0,0,0,0,0,1,20260524,20260621,683
0,0,0,0,0,0,1,20260524,20260621,955
0,0,0,0,0,0,1,20260524,20260621,959
0,0,0,0,0,0,1,20260525,20260607,971
0,0,0,0,0,0,1,20260525,20260622,703
0,0,0,0,0,0,1,20260530,20260607,503
0,0,0,0,0,0,1,20260530,20260622,584
0,0,0,0,0,0,1,20260531,20260607,523
0,0,0,0,0,0,1,20260531,20260612,322
0,0,0,0,0,0,1,20260531,20260621,464
0,0,0,0,0,0,1,20260607,20260614,970
0,0,0,0,0,0,1,20260608,20260621,472
0,0,0,0,0,0,1,20260614,20260621,411
0,0,0,0,0,0,1,20260614,20260621,510
0,0,0,0,0,0,1,20260614,20260622,852
0,0,0,0,0,1,0,20260523,20260530,909
0,0,0,0,0,1,0,20260523,20260606,140
0,0,0,0,0,1,0,20260523,20260606,846
0,0,0,0,0,1,0,20260523,20260613,367
0,0,0,0,0,1,0,20260523,20260613,396
0,0,0,0,0,1,0,20260523,20260613,572
0,0,0,0,0,1,0,20260523,20260620,217
0,0,0,0,0,1,0,20260523,20260620,62
0,0,0,0,0,1,0,20260523,20260620,840
0,0,0,0,0,1,0,20260530,20260606,195
0,0,0,0,0,1,0,20260530,20260607,5
0,0,0,0,0,1,0,20260530,20260613,175
0,0,0,0,0,1,0,20260530,20260613,842
0,0,0,0,0,1,0,20260530,20260620,779
0,0,0,0,0,1,0,20260604,20260613,805
0,0,0,0,0,1,0,20260604,20260620,829
0,0,0,0,0,1,0,20260606,20260613,274
0,0,0,0,0,1,0,20260606,20260621,211
0,0,0,0,0,1,0,20260612,20260620,43
0,0,0,0,0,1,0,20260613,20260620,25
0,0,0,0,0,1,0,20260613,20260620,55
0,0,0,0,0,1,0,20260613,20260620,937
0,0,0,0,0,1,0,20260613,20260622,260
0,0,0,0,0,1,1,20260523,20260524,231
0,0,0,0,0,1,1,20260523,20260530,832
0,0,0,0,0,1,1,20260523,20260531,864
0,0,0,0,0,1,1,20260523,20260607,418
0,0,0,0,0,1,1,20260523,20260607,886
0,0,0,0,0,1,1,20260523,20260613,144
0,0,0,0,0,1,1,20260523,20260613,245
0,0,0,0,0,1,1,20260523,20260613,420
0,0,0,0,0,1,1,20260523,20260613,479
0,0,0,0,0,1,1,20260523,20260613,513
0,0,0,0,0,1,1,20260523,20260613,514
0,0,0,0,0,1,1,20260523,20260613,757
0,0,0,0,0,1,1,20260523,20260613,761
0,0,0,0,0,1,1,20260523,20260613,883
0,0,0,0,0,1,1,20260523,20260613,989
0,0,0,0,0,1,1,20260523,20260620,519
0,0,0,0,0,1,1,20260523,20260621,1000
0,0,0,0,0,1,1,20260523,20260621,14
0,0,0,0,0,1,1,20260523,20260621,174
0,0,0,0,0,1,1,20260523,20260621,218
0,0,0,0,0,1,1,20260523,20260621,484
0,0,0,0,0,1,1,20260523,20260621,508
0,0,0,0,0,1,1,20260523,20260621,518
0,0,0,0,0,1,1,20260523,20260621,554
0,0,0,0,0,1,1,20260523,20260621,752
0,0,0,0,0,1,1,20260523,20260621,775
0,0,0,0,0,1,1,20260523,20260621,791
0,0,0,0,0,1,1,20260523,20260622,701
0,0,0,0,0,1,1,20260524,20260601,857
0,0,0,0,0,1,1,20260524,20260621,695
0,0,0,0,0,1,1,20260525,20260607,284
0,0,0,0,0,1,1,20260525,20260613,221
0,0,0,0,0,1,1,20260525,20260613,555
0,0,0,0,0,1,1,20260530,20260531,389
0,0,0,0,0,1,1,20260530,20260607,524
0,0,0,0,0,1,1,20260530,20260613,257
0,0,0,0,0,1,1,20260530,20260613,623
0,0,0,0,0,1,1,20260530,20260613,83
0,0,0,0,0,1,1,20260530,20260621,538
0,0,0,0,0,1,1,20260601,20260620,797
0,0,0,0,0,1,1,20260605,20260621,567
0,0,0,0,0,1,1,20260606,20260607,128
0,0,0,0,0,1,1,20260606,20260613,383
0,0,0,0,0,1,1,20260606,20260614,552
0,0,0,0,0,1,1,20260606,20260621,205
0,0,0,0,0,1,1,20260606,20260621,430
